user,date,login_hour,files_accessed,failed_logins,data_downloaded_mb,prediction,status,anomaly_score
user_01,2026-01-07,19,22,0,164,1,Normal,0.06518179408681246
user_01,2026-06-23,19,39,0,352,1,Normal,0.060106725793184546
user_01,2026-01-24,2,283,9,3872,-1,Anomaly,-0.1265427523853545
user_05,2026-04-18,11,33,2,192,1,Normal,0.10139563669066415
user_01,2026-02-10,19,32,1,192,1,Normal,0.07406656216287999
user_03,2026-01-27,9,29,0,233,1,Normal,0.07420754847462846
user_05,2026-03-09,20,7,2,285,1,Normal,0.02024737443764968
user_04,2026-01-21,16,23,2,366,1,Normal,0.09884930177967916
user_03,2026-05-28,11,50,0,73,1,Normal,0.014293052514008364
user_03,2026-01-21,11,11,1,192,1,Normal,0.08120821888838531
user_03,2026-02-11,13,27,0,393,1,Normal,0.08864399163955661
user_01,2026-06-05,18,15,2,423,1,Normal,0.07362975047570935
user_04,2026-04-08,12,45,2,335,1,Normal,0.09143922529013909
user_03,2026-01-15,11,7,1,255,1,Normal,0.07164182771297134
user_02,2026-05-26,19,25,0,385,1,Normal,0.06259751936098862
user_04,2026-02-06,12,13,0,431,1,Normal,0.0615372568824587
user_03,2026-05-30,14,42,1,235,1,Normal,0.089037250312961
user_02,2026-05-11,15,10,0,490,1,Normal,0.02218342668179496
user_02,2026-06-24,14,43,0,247,1,Normal,0.06973843047815587
user_04,2026-05-16,12,40,0,398,1,Normal,0.08409354522434803
user_05,2026-03-10,20,46,1,107,1,Normal,0.005228100773378763
user_02,2026-04-27,8,21,2,440,1,Normal,0.024040726402041357
user_01,2026-06-10,12,45,2,361,1,Normal,0.09222972918262706
user_03,2026-02-11,16,38,0,356,1,Normal,0.07017633477401758
user_01,2026-01-29,13,24,0,79,1,Normal,0.0597416336181395
user_05,2026-01-21,9,36,0,439,1,Normal,0.06576933136027413
user_02,2026-02-02,18,35,2,134,1,Normal,0.07209203921413915
user_05,2026-04-19,11,39,2,403,1,Normal,0.09934400154257472
user_03,2026-04-13,18,46,1,274,1,Normal,0.06075098703151882
user_04,2026-01-31,5,158,8,1902,-1,Anomaly,-0.10284398630579539
user_01,2026-01-19,1,184,4,3105,-1,Anomaly,-0.14862475210485604
user_02,2026-03-13,18,36,0,326,1,Normal,0.07468432973809153
user_05,2026-05-28,15,20,1,463,1,Normal,0.07536576618997293
user_01,2026-01-25,18,32,1,266,1,Normal,0.10145920119156726
user_01,2026-06-22,18,46,0,81,1,Normal,0.016773202772272344
user_03,2026-01-28,11,17,0,324,1,Normal,0.07142951579457385
user_04,2026-02-16,12,34,0,497,1,Normal,0.046629263844845115
user_04,2026-05-21,9,8,2,326,1,Normal,0.03392602943850942
user_01,2026-03-02,10,31,1,296,1,Normal,0.10080384145401322
user_04,2026-01-16,10,29,0,249,1,Normal,0.07756478259501881
user_04,2026-03-15,14,49,2,451,1,Normal,0.052490793827177085
user_04,2026-02-09,11,23,0,79,1,Normal,0.04336606246327346
user_05,2026-01-16,19,25,0,75,1,Normal,0.03952927751800134
user_05,2026-05-16,10,8,2,91,1,Normal,0.027426449577071632
user_01,2026-06-02,9,48,0,256,1,Normal,0.050450924940813435
user_05,2026-03-05,5,244,8,2295,-1,Anomaly,-0.12010699424785598
user_03,2026-02-22,18,50,1,172,1,Normal,0.04035077357135297
user_02,2026-06-21,18,24,1,211,1,Normal,0.09195393484928521
user_01,2026-01-03,2,229,6,1542,-1,Anomaly,-0.09549354641742303
user_03,2026-01-18,11,28,1,130,1,Normal,0.09256637861146705
user_05,2026-06-30,5,176,9,1424,-1,Anomaly,-0.1346765106987493
user_02,2026-03-09,9,11,2,333,1,Normal,0.04083050691191581
user_03,2026-06-04,11,50,1,154,1,Normal,0.06908380882688364
user_03,2026-05-10,15,21,0,97,1,Normal,0.05607703036857986
