user,date,login_hour,files_accessed,failed_logins,data_downloaded_mb
user_01,2026-01-07,19,22,0,164
user_01,2026-06-23,19,39,0,352
user_01,2026-01-24,2,283,9,3872
user_05,2026-04-18,11,33,2,192
user_01,2026-02-10,19,32,1,192
user_03,2026-01-27,9,29,0,233
user_05,2026-03-09,20,7,2,285
user_04,2026-01-21,16,23,2,366
user_03,2026-05-28,11,50,0,73
user_03,2026-01-21,11,11,1,192
user_03,2026-02-11,13,27,0,393
user_01,2026-06-05,18,15,2,423
user_04,2026-04-08,12,45,2,335
user_03,2026-01-15,11,7,1,255
user_02,2026-05-26,19,25,0,385
user_04,2026-02-06,12,13,0,431
user_03,2026-05-30,14,42,1,235
user_02,2026-05-11,15,10,0,490
user_02,2026-06-24,14,43,0,247
user_04,2026-05-16,12,40,0,398
user_05,2026-03-10,20,46,1,107
user_02,2026-04-27,8,21,2,440
user_01,2026-06-10,12,45,2,361
user_03,2026-02-11,16,38,0,356
user_01,2026-01-29,13,24,0,79
user_05,2026-01-21,9,36,0,439
user_02,2026-02-02,18,35,2,134
user_05,2026-04-19,11,39,2,403
user_03,2026-04-13,18,46,1,274
user_04,2026-01-31,5,158,8,1902
user_01,2026-01-19,1,184,4,3105
user_02,2026-03-13,18,36,0,326
user_05,2026-05-28,15,20,1,463
user_01,2026-01-25,18,32,1,266
user_01,2026-06-22,18,46,0,81
user_03,2026-01-28,11,17,0,324
user_04,2026-02-16,12,34,0,497
user_04,2026-05-21,9,8,2,326
user_01,2026-03-02,10,31,1,296
user_04,2026-01-16,10,29,0,249
user_04,2026-03-15,14,49,2,451
user_04,2026-02-09,11,23,0,79
user_05,2026-01-16,19,25,0,75
user_05,2026-05-16,10,8,2,91
user_01,2026-06-02,9,48,0,256
user_05,2026-03-05,5,244,8,2295
user_03,2026-02-22,18,50,1,172
user_02,2026-06-21,18,24,1,211
user_01,2026-01-03,2,229,6,1542
user_03,2026-01-18,11,28,1,130
user_05,2026-06-30,5,176,9,1424
user_02,2026-03-09,9,11,2,333
user_03,2026-06-04,11,50,1,154
user_03,2026-05-10,15,21,0,97
user_03,2026-01-12,8,26,0,376
user_02,2026-04-24,1,276,5,3234
user_01,2026-04-05,17,40,0,270
user_03,2026-04-04,20,7,1,157
user_01,2026-04-01,20,40,1,367
user_02,2026-02-11,20,16,1,62
user_03,2026-04-16,20,47,2,465
user_02,2026-06-29,9,29,0,489
user_02,2026-04-28,2,202,6,2141
user_01,2026-03-13,13,46,2,254
user_05,2026-03-26,8,12,1,141
user_03,2026-01-10,9,43,1,226
user_03,2026-04-22,17,37,0,247
user_02,2026-03-07,8,50,1,50
user_05,2026-06-25,19,47,0,236
user_03,2026-06-09,13,47,0,418
user_05,2026-03-21,18,31,1,256
user_05,2026-02-02,11,31,2,244
user_02,2026-06-07,17,24,1,330
user_03,2026-03-15,11,32,2,360
user_04,2026-04-24,15,48,0,311
user_02,2026-06-18,9,23,2,389
user_03,2026-01-24,20,20,2,208
user_02,2026-02-07,8,7,0,293
user_01,2026-04-27,14,45,2,149
user_04,2026-05-07,14,20,0,385
user_01,2026-04-19,11,16,2,315
user_05,2026-03-05,9,34,0,460
user_05,2026-05-24,17,25,1,363
user_05,2026-04-20,16,33,0,430
user_04,2026-03-08,20,20,2,191
user_05,2026-05-05,3,160,6,2375
user_03,2026-05-19,9,13,0,168
user_02,2026-06-30,11,9,1,258
user_04,2026-04-17,8,18,1,249
user_05,2026-06-28,3,176,10,2597
user_04,2026-05-18,19,39,2,162
user_03,2026-04-22,15,6,1,222
user_04,2026-02-12,4,251,8,3715
user_01,2026-01-22,18,32,0,493
user_01,2026-03-08,14,25,0,282
user_04,2026-03-13,1,291,8,1213
user_03,2026-02-27,18,9,2,70
user_02,2026-02-21,8,44,0,172
user_01,2026-05-25,11,34,2,181
user_02,2026-06-05,17,50,0,448
user_03,2026-01-28,17,6,1,344
user_04,2026-04-12,19,17,0,353
user_02,2026-01-27,19,24,2,357
user_05,2026-01-11,13,39,1,388
user_05,2026-06-15,13,5,1,471
user_04,2026-04-03,18,34,2,128
user_05,2026-06-16,12,44,2,446
user_04,2026-06-01,12,25,0,475
user_03,2026-04-26,11,34,2,362
user_03,2026-01-08,15,25,0,299
user_03,2026-03-29,12,43,2,500
user_01,2026-05-13,11,10,0,418
user_05,2026-03-03,19,35,2,414
user_01,2026-01-24,12,19,1,404
user_05,2026-04-05,15,40,2,226
user_05,2026-03-26,13,49,1,188
user_02,2026-01-31,19,17,1,111
user_02,2026-02-19,11,35,1,420
